raw_timestamp,map,game_round,event_type,event_details
1742105720202,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.5507848262786865, 'x': 286, 'y': 318, 'width': 61, 'height': 96, 'box_area': 5856, 'center_x': 316.5, 'center_y': 366.0, 'diff_height': 3.0, 'position_of_object': [286, 318, 61, 96], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720237,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7369047403335571, 'x': 289, 'y': 323, 'width': 56, 'height': 97, 'box_area': 5432, 'center_x': 317.0, 'center_y': 371.5, 'diff_height': 1.0, 'position_of_object': [289, 323, 56, 97], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720253,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9425193667411804, 'x': 289, 'y': 323, 'width': 56, 'height': 97, 'box_area': 5432, 'center_x': 317.0, 'center_y': 371.5, 'diff_height': 0.0, 'position_of_object': [289, 323, 56, 97], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720271,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9317206740379332, 'x': 290, 'y': 322, 'width': 54, 'height': 102, 'box_area': 5508, 'center_x': 317.0, 'center_y': 373.0, 'diff_height': 5.0, 'position_of_object': [290, 322, 54, 102], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720287,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9515302181243896, 'x': 290, 'y': 322, 'width': 53, 'height': 102, 'box_area': 5406, 'center_x': 316.5, 'center_y': 373.0, 'diff_height': 0.0, 'position_of_object': [290, 322, 53, 102], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720304,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.902041792869568, 'x': 289, 'y': 323, 'width': 56, 'height': 104, 'box_area': 5824, 'center_x': 317.0, 'center_y': 375.0, 'diff_height': 2.0, 'position_of_object': [289, 323, 56, 104], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720321,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8963894248008728, 'x': 288, 'y': 322, 'width': 57, 'height': 105, 'box_area': 5985, 'center_x': 316.5, 'center_y': 374.5, 'diff_height': 1.0, 'position_of_object': [288, 322, 57, 105], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720338,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.918404757976532, 'x': 289, 'y': 323, 'width': 55, 'height': 104, 'box_area': 5720, 'center_x': 316.5, 'center_y': 375.0, 'diff_height': -1.0, 'position_of_object': [289, 323, 55, 104], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720355,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8463678359985352, 'x': 287, 'y': 326, 'width': 59, 'height': 100, 'box_area': 5900, 'center_x': 316.5, 'center_y': 376.0, 'diff_height': -4.0, 'position_of_object': [287, 326, 59, 100], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720372,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.837754487991333, 'x': 286, 'y': 327, 'width': 61, 'height': 95, 'box_area': 5795, 'center_x': 316.5, 'center_y': 374.5, 'diff_height': -5.0, 'position_of_object': [286, 327, 61, 95], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
