raw_timestamp,map,game_round,event_type,event_details
1742105720253,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.64588815, 'x': 290, 'y': 323, 'width': 60, 'height': 102, 'box_area': 6120, 'center_x': 320.0, 'center_y': 374.0, 'diff_height': 5.0, 'position_of_object': [290, 323, 60, 102]}"
1742105720271,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9317207, 'x': 290, 'y': 322, 'width': 54, 'height': 102, 'box_area': 5508, 'center_x': 317.0, 'center_y': 373.0, 'diff_height': 0.0, 'position_of_object': [290, 322, 54, 102]}"
1742105720271,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.763112, 'x': 289, 'y': 325, 'width': 63, 'height': 100, 'box_area': 6300, 'center_x': 320.5, 'center_y': 375.0, 'diff_height': -2.0, 'position_of_object': [289, 325, 63, 100]}"
1742105720287,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9515302, 'x': 290, 'y': 322, 'width': 53, 'height': 102, 'box_area': 5406, 'center_x': 316.5, 'center_y': 373.0, 'diff_height': 2.0, 'position_of_object': [290, 322, 53, 102]}"
1742105720287,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7639843, 'x': 288, 'y': 326, 'width': 66, 'height': 100, 'box_area': 6600, 'center_x': 321.0, 'center_y': 376.0, 'diff_height': -2.0, 'position_of_object': [288, 326, 66, 100]}"
1742105720304,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.9020418, 'x': 289, 'y': 323, 'width': 56, 'height': 104, 'box_area': 5824, 'center_x': 317.0, 'center_y': 375.0, 'diff_height': 4.0, 'position_of_object': [289, 323, 56, 104]}"
1742105720304,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8798514, 'x': 288, 'y': 326, 'width': 67, 'height': 102, 'box_area': 6834, 'center_x': 321.5, 'center_y': 377.0, 'diff_height': -2.0, 'position_of_object': [288, 326, 67, 102]}"
1742105720321,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8963894, 'x': 288, 'y': 322, 'width': 57, 'height': 105, 'box_area': 5985, 'center_x': 316.5, 'center_y': 374.5, 'diff_height': 3.0, 'position_of_object': [288, 322, 57, 105]}"
1742105720321,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.76466435, 'x': 284, 'y': 326, 'width': 73, 'height': 104, 'box_area': 7592, 'center_x': 320.5, 'center_y': 378.0, 'diff_height': -1.0, 'position_of_object': [284, 326, 73, 104]}"
1742105720338,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.91840476, 'x': 289, 'y': 323, 'width': 55, 'height': 104, 'box_area': 5720, 'center_x': 316.5, 'center_y': 375.0, 'diff_height': 0.0, 'position_of_object': [289, 323, 55, 104]}"
1742105720338,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7076887, 'x': 284, 'y': 326, 'width': 73, 'height': 104, 'box_area': 7592, 'center_x': 320.5, 'center_y': 378.0, 'diff_height': 0.0, 'position_of_object': [284, 326, 73, 104]}"
