player_ip,timestamp,yolo_obj,confidence,position_of_object
172.19.113.65,1742105841668,enemy,0.52077836,"[239, 165, 50, 107]"
172.19.113.65,1742105841684,enemy,0.7147105,"[231, 168, 50, 103]"
172.19.113.65,1742105841684,enemy,0.57589334,"[227, 162, 56, 121]"
172.19.113.65,1742105841702,enemy,0.6761564,"[228, 167, 47, 104]"
172.19.113.65,1742105841702,enemy,0.608776,"[223, 165, 57, 118]"
172.19.113.65,1742105841735,enemy,0.6854657,"[215, 174, 50, 99]"
172.19.113.65,1742105841735,enemy,0.55463564,"[260, 243, 74, 39]"
172.19.113.65,1742105841735,enemy,0.50809675,"[263, 239, 67, 44]"
172.19.113.65,1742105841752,enemy,0.89626807,"[208, 177, 53, 99]"
172.19.113.65,1742105841752,enemy,0.78674227,"[264, 244, 72, 37]"
172.19.113.65,1742105841752,enemy,0.641555,"[268, 241, 66, 41]"
172.19.113.65,1742105841768,enemy,0.73439753,"[210, 165, 48, 107]"
172.19.113.65,1742105841768,enemy,0.90793985,"[209, 171, 48, 106]"
172.19.113.65,1742105841785,enemy,0.86510617,"[213, 166, 44, 105]"
172.19.113.65,1742105841785,enemy,0.833828,"[212, 172, 44, 103]"
172.19.113.65,1742105841802,enemy,0.5853625,"[220, 172, 39, 103]"
172.19.113.65,1742105841818,enemy,0.8758437,"[225, 176, 49, 100]"
172.19.113.65,1742105841818,enemy,0.8014127,"[307, 237, 53, 37]"
172.19.113.65,1742105841835,enemy,0.95677435,"[237, 181, 39, 88]"
172.19.113.65,1742105841835,enemy,0.7037699,"[318, 237, 57, 36]"
172.19.113.65,1742105841851,enemy,0.97465736,"[266, 180, 29, 89]"
172.19.113.65,1742105841851,enemy,0.82305527,"[343, 238, 57, 35]"
172.19.113.65,1742105841868,enemy,0.9155044,"[275, 183, 23, 85]"
172.19.113.65,1742105841868,enemy,0.8342342,"[351, 240, 55, 34]"
172.19.113.65,1742105841884,enemy,0.6837693,"[378, 241, 55, 38]"
172.19.113.65,1742105841901,enemy,0.5575848,"[389, 245, 52, 36]"
172.19.113.65,1742105841918,enemy,0.90721977,"[401, 256, 54, 31]"
172.19.113.65,1742105841934,enemy,0.8907789,"[429, 267, 56, 33]"
172.19.113.65,1742105841951,enemy,0.92519325,"[431, 267, 55, 35]"
172.19.113.65,1742105841967,enemy,0.92666656,"[353, 215, 20, 81]"
172.19.113.65,1742105841967,enemy,0.88190466,"[434, 273, 57, 37]"
172.19.113.65,1742105841967,enemy,0.637254,"[433, 273, 59, 36]"
172.19.113.65,1742105841984,enemy,0.8787842,"[353, 221, 21, 79]"
172.19.113.65,1742105841984,enemy,0.50190103,"[435, 271, 57, 44]"
